City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.81,clear sky,-23.1203,-134.9692,People ThankYou
2,Bredasdorp,ZA,72.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
4,Hermanus,ZA,72.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
5,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
19,Cayenne,GF,82.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
22,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
23,Kahului,US,74.46,light rain,20.8947,-156.47,Maui Seaside Hotel
24,Kapaa,US,76.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Port Elizabeth,ZA,72.1,few clouds,-33.918,25.5701,39 On Nile Guest House
31,Namibe,AO,78.3,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
34,Buchanan,LR,89.56,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
35,Santiago Del Estero,AR,81.95,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
42,Boyolangu,ID,77.74,few clouds,-8.1181,111.8935,Yos ega cv
43,Angoche,MZ,86.54,clear sky,-16.2325,39.9086,Guest House HESADA
46,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
50,Carmo Do Rio Claro,BR,75.07,broken clouds,-20.9719,-46.1189,Varandas da Montanha Hotel
53,Atuona,PF,78.15,broken clouds,-9.8,-139.0333,Villa Enata
55,Yarada,IN,77.32,light intensity drizzle,17.65,83.2667,Vishranti
56,Thaton,MM,77.14,scattered clouds,16.9206,97.3714,တိုင်းရင်းဆေး ခရိုင်ဦးစီးဌာနမှူးရုံး
57,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
61,Hilo,US,74.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
