City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ilulissat,GL,69.2167,-51.1,21.22,68,75,12.66,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,75.81,75,6,16.69,clear sky
2,Bredasdorp,ZA,-34.5322,20.0403,72.28,52,40,12.66,scattered clouds
3,Runcu,RO,45.1167,23.1333,44.37,90,100,2.24,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,72.81,66,100,15.59,overcast clouds
5,Avarua,CK,-21.2078,-159.775,77.05,83,20,11.5,few clouds
6,Tiksi,RU,71.6872,128.8694,-33.0,100,64,4.74,broken clouds
7,Lebu,CL,-37.6167,-73.65,56.43,63,0,17.72,clear sky
8,Korla,CN,41.7597,86.1469,28.24,45,0,0.67,clear sky
9,Lagoa,PT,39.05,-27.9833,63.68,74,0,14.36,clear sky
10,Skibbereen,IE,51.55,-9.2667,48.0,94,100,8.75,light rain
11,Busselton,AU,-33.65,115.3333,66.09,61,0,18.72,clear sky
12,Torbay,CA,47.6666,-52.7314,49.28,97,90,37.98,light intensity drizzle
13,Balkanabat,TM,39.5108,54.3671,46.98,74,82,6.67,broken clouds
14,Ancud,CL,-41.8697,-73.8203,61.43,60,0,3.44,clear sky
15,Lavrentiya,RU,65.5833,-171.0,11.64,95,100,22.7,snow
16,Pangnirtung,CA,66.1451,-65.7125,19.4,86,90,3.44,light snow
17,Yar-Sale,RU,66.8333,70.8333,-6.34,92,100,13.33,overcast clouds
18,Tuim,RU,54.3417,89.9261,28.38,66,100,9.22,overcast clouds
19,Cayenne,GF,4.9333,-52.3333,82.09,85,90,1.14,overcast clouds
20,Svetlogorsk,BY,52.6333,29.7333,32.47,86,100,10.09,overcast clouds
21,Qasigiannguit,GL,68.8193,-51.1922,21.45,83,52,7.65,broken clouds
22,Georgetown,MY,5.4112,100.3354,80.55,84,20,1.99,few clouds
23,Kahului,US,20.8947,-156.47,74.46,89,20,4.61,light rain
24,Kapaa,US,22.0752,-159.319,76.98,83,90,1.01,light rain
25,Orizatlan,MX,21.1833,-98.6167,62.22,85,6,4.12,clear sky
26,Tuktoyaktuk,CA,69.4541,-133.0374,-21.46,97,94,12.75,overcast clouds
27,Port Elizabeth,ZA,-33.918,25.5701,72.1,60,20,12.66,few clouds
28,Seryshevo,RU,51.0933,128.3786,-10.37,87,3,6.62,clear sky
29,Yellowknife,CA,62.456,-114.3525,0.41,89,90,6.91,light snow
30,Roma,US,43.2128,-75.4557,33.94,76,90,1.01,overcast clouds
31,Namibe,AO,-15.1961,12.1522,78.3,64,13,13.29,few clouds
32,Ushuaia,AR,-54.8,-68.3,49.66,62,75,4.61,broken clouds
33,Poyarkovo,RU,49.6,128.6833,-13.43,94,17,5.82,few clouds
34,Buchanan,LR,5.8808,-10.0467,89.56,66,87,7.29,overcast clouds
35,Santiago Del Estero,AR,-27.7951,-64.2615,81.95,38,71,13.11,broken clouds
36,Fort William,GB,56.8165,-5.1121,48.04,90,95,6.93,overcast clouds
37,Port Alfred,ZA,-33.5906,26.891,68.61,61,17,14.27,few clouds
38,Bluff,NZ,-46.6,168.3333,59.81,93,45,1.72,scattered clouds
39,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,11.5,snow
40,Jamestown,US,42.097,-79.2353,35.19,84,90,4.0,overcast clouds
41,Vostok,RU,46.4856,135.8833,-4.63,99,100,4.12,overcast clouds
42,Boyolangu,ID,-8.1181,111.8935,77.74,89,14,4.54,few clouds
43,Angoche,MZ,-16.2325,39.9086,86.54,60,0,15.59,clear sky
44,Mount Gambier,AU,-37.8333,140.7667,51.71,71,75,5.75,broken clouds
45,Victoria,HK,22.2855,114.1577,68.32,32,43,1.01,scattered clouds
46,Bairiki,KI,1.3292,172.9752,80.6,78,20,8.05,few clouds
47,Kodinsk,RU,58.6881,99.1844,32.09,61,100,12.26,overcast clouds
48,Albany,US,42.6001,-73.9662,35.46,70,95,5.01,overcast clouds
49,Kathmandu,NP,27.7167,85.3167,59.22,72,75,0.0,broken clouds
50,Carmo Do Rio Claro,BR,-20.9719,-46.1189,75.07,70,74,6.33,broken clouds
51,Mar Del Plata,AR,-38.0023,-57.5575,66.22,87,0,13.0,clear sky
52,Wegorzewo,PL,54.2157,21.7372,32.04,89,99,16.51,light snow
53,Atuona,PF,-9.8,-139.0333,78.15,69,60,20.11,broken clouds
54,Chegdomyn,RU,51.1167,133.0167,-15.5,100,36,2.33,scattered clouds
55,Yarada,IN,17.65,83.2667,77.32,65,90,13.8,light intensity drizzle
